Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0.0900000000000001	-0.113445	0.004218	-0.025861	-0.004695	-0.006781	-0.014545	0.000455	0.005629
0.0905000000000001	-0.105773	0.001919	-0.051568	-0.00653	-0.006693	-0.009632	0.006036	0.003228
0.0910000000000001	-0.063885	0.000472	-0.101322	-0.00486	-0.006135	-0.015252	0.008829	0.001935
0.0915000000000001	-0.034261	-3.5e-05	-0.129944	-0.002591	-0.005738	-0.027019	0.008805	0.002454
0.0920000000000001	-0.031421	-8.5e-05	-0.102778	-0.0021	-0.003747	-0.033286	0.006473	0.003739
0.0925000000000001	-0.033505	0.000438	-0.052143	-0.001579	0.000143	-0.01725	0.003583	0.004422
0.0930000000000001	-0.024906	0.002253	-0.031427	0.002026	0.004178	0.031947	0.003496	0.00248
0.0935000000000001	-0.014299	0.004218	-0.04443	0.010616	0.007164	0.101465	0.006953	-0.001766
0.0940000000000001	-0.012749	0.003806	-0.057862	0.021993	0.009162	0.155653	0.009661	-0.003611
0.0945000000000001	-0.014885	0.001233	-0.058015	0.028783	0.010563	0.165405	0.007205	-0.001306
0.0950000000000001	-0.009924	-1e-05	-0.05831	0.025373	0.011008	0.133587	0.000266	0.000305
0.0955000000000001	0.000711	0.001006	-0.063101	0.015091	0.00917	0.086601	-0.005129	-0.001261
0.0960000000000001	0.008491	0.001508	-0.054323	0.004288	0.004966	0.05003	-0.003635	-0.0029
0.0965000000000001	0.010574	0.001521	-0.016147	-0.006327	0.001618	0.032191	0.001288	-0.002682
0.0970000000000001	0.008771	0.003208	0.04247	-0.019922	0.001579	0.021828	0.00129	-0.002315
0.0975000000000001	0.005355	0.004706	0.09286	-0.041248	0.002355	0.004411	-0.003879	-0.003153
0.0980000000000001	0.005717	0.002683	0.10988	-0.074885	0.001799	-0.019694	-0.006789	-0.003908
0.0985000000000001	0.016244	-0.001879	0.092657	-0.11336	0.002237	-0.038469	-0.004047	-0.004039
0.0990000000000001	0.031582	-0.005091	0.063748	-0.132541	0.004536	-0.044812	0.000642	-0.005039
0.0995000000000001	0.033612	-0.004914	0.045016	-0.115483	0.00601	-0.0424	0.002776	-0.007049
0.1	0.013328	-0.003258	0.038767	-0.076578	0.005373	-0.035589	0.002306	-0.007993
0.1005	-0.015587	-0.003318	0.035685	-0.044549	0.003689	-0.021503	0.002916	-0.006553
0.101	-0.033113	-0.004995	0.029763	-0.024357	0.002469	0.002734	0.007298	-0.004792
0.1015	-0.033461	-0.005611	0.020817	0.003666	0.002478	0.029887	0.012963	-0.005281
0.102	-0.022819	-0.004137	0.013141	0.047357	0.003269	0.045937	0.013528	-0.007149
0.1025	-0.007751	-0.001951	0.013399	0.088973	0.00367	0.042481	0.007099	-0.007897
0.103	0.007258	-0.001196	0.023597	0.111816	0.002318	0.023582	5e-05	-0.005779
0.1035	0.019745	-0.002566	0.036806	0.117054	-0.000196	0.00309	-0.000844	-0.001845
0.104	0.02893	-0.003709	0.042703	0.109805	-0.000456	-0.00628	0.003981	2.5e-05
0.1045	0.031759	-0.002301	0.038738	0.092804	0.003034	-0.006455	0.008353	-0.000538
0.105	0.025482	0.000843	0.035749	0.073444	0.006226	-0.012274	0.008261	-0.000568
0.1055	0.01397	0.003791	0.045998	0.058137	0.004648	-0.033156	0.00606	-0.000261
0.106	0.003914	0.005366	0.060367	0.045735	0.000394	-0.063529	0.004961	-0.000608
0.1065	-0.001849	0.005462	0.049301	0.033625	-0.00108	-0.091454	0.004632	-0.000671
0.107	-0.004676	0.004935	-0.002665	0.02323	0.001323	-0.107725	0.003756	-0.000644
0.1075	-0.008254	0.004115	-0.075469	0.018598	0.004276	-0.107193	0.001892	-0.001094
0.108	-0.016355	0.00184	-0.133618	0.019193	0.004517	-0.088149	6.5e-05	-0.000827
0.1085	-0.028234	-0.002059	-0.156144	0.015372	0.002426	-0.050418	0.000642	0.000307
0.109	-0.034984	-0.003997	-0.145918	0.000225	0.000769	0.004176	0.003671	0.000128
0.1095	-0.027404	-0.000799	-0.122131	-0.019093	-0.000347	0.0644	0.005499	-0.001917
0.11	-0.009691	0.004885	-0.106318	-0.031587	-0.002249	0.106522	0.0042	-0.004
0.1105	0.004113	0.007613	-0.107403	-0.034008	-0.004114	0.109107	0.002252	-0.004724
0.111	0.00694	0.005923	-0.116214	-0.028543	-0.005245	0.075566	0.001	-0.004111
0.1115	0.003188	0.003418	-0.113606	-0.019527	-0.006422	0.034373	-0.001581	-0.003256
0.112	0.000642	0.003362	-0.082789	-0.01307	-0.007446	0.011426	-0.006039	-0.003669
0.1125	0.003441	0.004678	-0.02157	-0.01241	-0.007021	0.008713	-0.009722	-0.006279
0.113	0.00885	0.004297	0.048768	-0.013711	-0.004883	0.011702	-0.010359	-0.009246
0.1135	0.01111	0.002088	0.095472	-0.012407	-0.001405	0.00919	-0.009141	-0.010358
0.114	0.008503	0.000361	0.105169	-0.009429	0.00215	0.001111	-0.008365	-0.010382
0.1145	0.004195	-0.000825	0.094276	-0.007131	0.003179	-0.006814	-0.007037	-0.009267
0.115	0.00274	-0.003186	0.081941	-0.006189	0.00231	-0.008089	-0.002761	-0.006941
0.1155	0.004679	-0.006774	0.066987	-0.006588	0.002908	0.000801	0.003312	-0.006156
0.116	0.004833	-0.009667	0.041324	-0.007423	0.003851	0.014939	0.007041	-0.007612
0.1165	0.00064	-0.010456	0.008374	-0.0074	0.001625	0.022928	0.007101	-0.008947
0.117	-0.003028	-0.010103	-0.023913	-0.006739	-0.00224	0.019491	0.006212	-0.008793
0.1175	-0.001935	-0.009244	-0.053809	-0.006714	-0.003775	0.011034	0.005541	-0.007447
0.118	0.002233	-0.006839	-0.080923	-0.008418	-0.003153	0.005358	0.003372	-0.005846
0.1185	0.006982	-0.00267	-0.100201	-0.012537	-0.002642	0.004055	-0.001197	-0.005616
0.119	0.011874	0.002345	-0.106653	-0.014858	-0.002516	0.004533	-0.006401	-0.006979
0.1195	0.015945	0.006737	-0.096833	-0.008933	-0.002708	0.003408	-0.008904	-0.006725
0.12	0.017327	0.009297	-0.057411	0.001575	-0.003173	0.000204	-0.007392	-0.003231
0.1205	0.015178	0.009651	0.030758	0.007688	-0.003176	-0.002941	-0.003805	0.001126
0.121	0.011276	0.007205	0.154073	0.008771	-0.002637	-0.004387	-0.000448	0.004382
0.1215	0.008858	0.002266	0.244919	0.009529	-0.001414	-0.003627	0.000955	0.005367
0.122	0.008534	-0.003	0.231051	0.011187	0.00013	-0.004106	-0.001094	0.003817
0.1225	0.008246	-0.007154	0.107968	0.01073	-0.000212	-0.012751	-0.005844	0.002393
0.123	0.00729	-0.009936	-0.054692	0.006476	-0.002942	-0.028236	-0.009747	0.003302
0.1235	0.006152	-0.010287	-0.176408	0.001202	-0.004958	-0.036226	-0.009836	0.004749
0.124	0.003867	-0.00789	-0.225831	-0.002133	-0.004194	-0.026888	-0.006532	0.00459
0.1245	0.000362	-0.004289	-0.221367	-0.002998	-0.002464	-0.008711	-0.002332	0.003347
0.125	-0.001191	-0.000304	-0.187375	-0.001251	-0.002277	0.004052	0.001264	0.001864
0.1255	0.000916	0.00529	-0.122768	-0.000332	-0.003966	0.007122	0.003658	0.001143
0.126	0.003735	0.013184	-0.005566	-0.012085	-0.00516	0.004817	0.003797	0.002283
0.1265	0.003858	0.019644	0.170458	-0.045955	-0.0033	0.001664	0.002128	0.004039
0.127	0.000969	0.020434	0.347583	-0.091798	0.000188	-0.000805	0.000846	0.00456
0.1275	-0.002675	0.01775	0.422028	-0.126435	0.002246	-0.002349	0.000577	0.004738
0.128	-0.004511	0.015208	0.354734	-0.136866	0.002078	-0.003888	0.000146	0.006347
0.1285	-0.004414	0.011999	0.227364	-0.127113	0.00059	-0.006026	-0.000928	0.007484
0.129	-0.004682	0.006765	0.133559	-0.104347	4.9e-05	-0.007381	-0.001344	0.004598
0.1295	-0.006623	0.000104	0.069456	-0.069071	0.001351	-0.009843	0.000347	-1.5e-05
0.13	-0.009379	-0.00607	-0.00663	-0.022559	0.001971	-0.018162	0.002565	0.000297
0.1305	-0.011886	-0.008887	-0.080373	0.02672	-2.6e-05	-0.030476	0.001886	0.006214
0.131	-0.013289	-0.007716	-0.118584	0.068396	-0.00337	-0.03923	-0.001245	0.011012
0.1315	-0.013057	-0.005554	-0.135035	0.095831	-0.005102	-0.041351	-0.001929	0.010723
0.132	-0.011384	-0.004582	-0.156821	0.107968	-0.003259	-0.038769	0.002846	0.008399
0.1325	-0.008067	-0.003896	-0.171794	0.107343	0.00078	-0.029796	0.009991	0.007114
0.133	-0.003871	-0.002783	-0.15401	0.096914	0.00354	-0.009883	0.013976	0.00682
0.1335	-0.001649	-0.002977	-0.109611	0.079731	0.003169	0.015614	0.01294	0.007823
0.134	-0.00127	-0.006401	-0.070034	0.058672	0.000776	0.029232	0.008647	0.009697
0.1345	0.000919	-0.012216	-0.055728	0.039191	-0.000602	0.019275	0.003566	0.0099
0.135	0.004986	-0.017042	-0.05732	0.030516	0.000992	-0.004551	9.4e-05	0.007429
0.1355	0.007425	-0.01735	-0.049378	0.036045	0.003682	-0.018941	-0.000798	0.004314
0.136	0.007279	-0.012674	-0.02125	0.046911	0.004588	-0.012232	-0.00113	0.002941
0.1365	0.006544	-0.007101	0.012176	0.051142	0.003274	0.00335	-0.004319	0.003752
0.137	0.006647	-0.004527	0.034328	0.044171	0.001149	0.010714	-0.010833	0.005438
0.1375	0.0074	-0.003954	0.050001	0.028836	6.3e-05	0.007815	-0.016251	0.005906
0.138	0.007309	-0.004015	0.0702	0.012242	0.00051	0.00178	-0.01535	0.004703
0.1385	0.00497	-0.006022	0.083385	0.001872	0.001962	-0.000584	-0.008599	0.0038
